accepted_species,genus,family,n_islands,n_records,reproductive_wikimedia_status,reproductive_wikimedia_attempts,reproductive_wikimedia_wave_id,reproductive_wikimedia_candidate_count,reproductive_wikimedia_last_error,reproductive_openalex_status,reproductive_openalex_attempts,reproductive_openalex_wave_id,reproductive_openalex_candidate_count,reproductive_openalex_last_error,floral_access_wikimedia_status,floral_access_wikimedia_attempts,floral_access_wikimedia_wave_id,floral_access_wikimedia_candidate_count,floral_access_wikimedia_last_error,alternative_guild_openalex_status,alternative_guild_openalex_attempts,alternative_guild_openalex_wave_id,alternative_guild_openalex_candidate_count,alternative_guild_openalex_last_error,machine_biotic_candidate,alternative_guild_wikimedia_status,alternative_guild_wikimedia_attempts,alternative_guild_wikimedia_wave_id,alternative_guild_wikimedia_candidate_count,alternative_guild_wikimedia_last_error,reproductive_multilingual_recovery_status,reproductive_multilingual_recovery_attempts,reproductive_multilingual_recovery_wave_id,reproductive_multilingual_recovery_candidate_count,reproductive_multilingual_recovery_last_error,reproductive_multilingual_sitelink_recovery_status,reproductive_multilingual_sitelink_recovery_attempts,reproductive_multilingual_sitelink_recovery_wave_id,reproductive_multilingual_sitelink_recovery_candidate_count,reproductive_multilingual_sitelink_recovery_last_error
Trifolium pratense,Trifolium,Fabaceae,837,379724,processed,1,wave_00002_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Codonanthe devosiana,Codonanthe,Gesneriaceae,8,30,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Hyptis capitata,Hyptis,Lamiaceae,95,1416,processed,1,wave_00034_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Cinnamomum camphora,Cinnamomum,Lauraceae,92,3711,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Malvaviscus penduliflorus,Malvaviscus,Malvaceae,86,597,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Heterotis rotundifolia,Heterotis,Melastomataceae,74,1376,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Psidium cattleianum,Psidium,Myrtaceae,88,13063,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Bridelia tomentosa,Bridelia,Phyllanthaceae,92,2542,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Poa annua,Poa,Poaceae,874,342375,processed,1,wave_00002_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Lysimachia tenella,Lysimachia,Primulaceae,99,32818,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Ranunculus propinquus,Ranunculus,Ranunculaceae,93,253,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Sorbus aucuparia,Sorbus,Rosaceae,683,276291,processed,1,wave_00002_reproductive_wikimedia,3,,pending,0,,0,,processed,1,wave_00011_floral_access_wikimedia,6,,pending,0,,0,,True,processed,1,wave_00012_alternative_guild_wikimedia,1,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Ernodea littoralis,Ernodea,Rubiaceae,92,574,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Zanthoxylum schinifolium,Zanthoxylum,Rutaceae,79,1763,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Ganophyllum falcatum,Ganophyllum,Sapindaceae,80,392,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Cyathula prostrata,Cyathula,Amaranthaceae,95,791,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Spondias dulcis,Spondias,Anacardiaceae,87,397,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Coriandrum sativum,Coriandrum,Apiaceae,95,1963,processed,1,wave_00028_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Hydrocotyle sibthorpioides,Hydrocotyle,Araliaceae,84,2951,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Liriope muscari,Liriope,Asparagaceae,98,2277,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Begonia longifolia,Begonia,Begoniaceae,9,1027,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Anchusa azurea,Anchusa,Boraginaceae,85,1056,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Campanula erinus,Campanula,Campanulaceae,89,2014,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Sagina procumbens,Sagina,Caryophyllaceae,691,189889,processed,1,wave_00002_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Crossopetalum rhacoma,Crossopetalum,Celastraceae,79,598,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Ipomoea aquatica,Ipomoea,Convolvulaceae,96,1901,processed,1,wave_00019_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Aeonium arboreum,Aeonium,Crassulaceae,84,2447,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Diospyros areolata,Diospyros,Ebenaceae,8,78,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Elaeocarpus stipularis,Elaeocarpus,Elaeocarpaceae,9,463,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Quercus coccifera,Quercus,Fagaceae,73,1467,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Gentianella aurea,Gentianella,Gentianaceae,89,1302,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Xylocarpus moluccensis,Xylocarpus,Meliaceae,76,250,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Malaisia scandens,Malaisia,Moraceae,92,2101,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Phillyrea latifolia,Phillyrea,Oleaceae,83,3191,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Pedicularis hirsuta,Pedicularis,Orobanchaceae,80,1506,processed,1,wave_00019_reproductive_wikimedia,1,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Freycinetia sumatrana,Freycinetia,Pandanaceae,9,21,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Piper ponapense,Piper,Piperaceae,9,61,processed,1,wave_00034_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Plantago afra,Plantago,Plantaginaceae,94,1627,processed,1,wave_00028_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Rumex aquaticus,Rumex,Polygonaceae,97,721,processed,1,wave_00022_reproductive_wikimedia,2,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Helicia moluccana,Helicia,Proteaceae,8,56,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Alphitonia excelsa,Alphitonia,Rhamnaceae,97,1247,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Salix purpurea,Salix,Salicaceae,92,16443,processed,1,wave_00019_reproductive_wikimedia,3,,pending,0,,0,,processed,1,wave_00020_floral_access_wikimedia,3,,pending,0,,0,,True,processed,1,wave_00021_alternative_guild_wikimedia,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Palaquium ridleyi,Palaquium,Sapotaceae,9,70,processed,1,wave_00031_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Hyoscyamus albus,Hyoscyamus,Solanaceae,97,1963,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Urtica membranacea,Urtica,Urticaceae,75,3286,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Causonis japonica,Causonis,Vitaceae,84,4878,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Radermachera quadripinnata,Radermachera,Bignoniaceae,9,23,processed,1,wave_00034_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Opuntia monacantha,Opuntia,Cactaceae,71,592,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Garcinia bancana,Garcinia,Clusiaceae,8,93,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Melothria pendula,Melothria,Cucurbitaceae,95,2417,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Shorea macroptera,Shorea,Dipterocarpaceae,9,271,processed,1,wave_00019_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Crocus vernus,Crocus,Iridaceae,90,5942,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Amyema conspicua,Amyema,Loranthaceae,9,35,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Bunchosia armeniaca,Bunchosia,Malpighiaceae,8,21,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Virola sebifera,Virola,Myristicaceae,9,60,processed,1,wave_00028_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Circaea lutetiana,Circaea,Onagraceae,94,160111,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Platanthera dilatata,Platanthera,Orchidaceae,96,1497,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Aquilaria cumingiana,Aquilaria,Thymelaeaceae,9,55,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Viola grypoceras,Viola,Violaceae,77,6724,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Saurauia latibractea,Saurauia,Actinidiaceae,7,42,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Allium subhirsutum,Allium,Amaryllidaceae,93,2006,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Ilex theezans,Ilex,Aquifoliaceae,9,49,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Aristolochia zollingeriana,Aristolochia,Aristolochiaceae,9,34,processed,1,wave_00019_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Caesia parviflora,Caesia,Asphodelaceae,9,244,processed,1,wave_00031_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Impatiens walleriana,Impatiens,Balsaminaceae,90,2172,processed,1,wave_00003_reproductive_wikimedia,1,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Tillandsia gardneri,Tillandsia,Bromeliaceae,9,55,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Canarium decumanum,Canarium,Burseraceae,8,28,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Lonicera caerulea,Lonicera,Caprifoliaceae,90,466,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Terminalia boivinii,Terminalia,Combretaceae,9,386,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Hibbertia vestita,Hibbertia,Dilleniaceae,9,61,processed,1,wave_00019_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Geranium erianthum,Geranium,Geraniaceae,82,849,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Hypericum tetrapterum,Hypericum,Hypericaceae,90,90223,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Juncus hybridus,Juncus,Juncaceae,94,1219,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Freziera undulata,Freziera,Pentaphylacaceae,9,58,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Limonium vulgare,Limonium,Plumbaginaceae,82,15990,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Epirixanthes elongata,Epirixanthes,Polygalaceae,9,72,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Verbascum sinuatum,Verbascum,Scrophulariaceae,95,3575,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Zingiber zerumbet,Zingiber,Zingiberaceae,94,813,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Dioscorea trifida,Dioscorea,Dioscoreaceae,9,24,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Eriocaulon parvum,Eriocaulon,Eriocaulaceae,9,65,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Lilium bulbiferum,Lilium,Liliaceae,90,589,processed,1,wave_00007_reproductive_wikimedia,1,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Geniostoma rupestre,Geniostoma,Loganiaceae,89,1242,processed,1,wave_00001_reproductive_wikimedia,0,,processed,1,wave_00004_reproductive_openalex,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Stephania corymbosa,Stephania,Menispermaceae,8,36,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Wilkiea rigidifolia,Wilkiea,Monimiaceae,8,32,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Fumaria bastardii,Fumaria,Papaveraceae,90,6585,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Passiflora sexflora,Passiflora,Passifloraceae,9,460,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Chrysosplenium alternifolium,Chrysosplenium,Saxifragaceae,91,16732,processed,1,wave_00013_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Aloysia gratissima,Aloysia,Verbenaceae,9,21,processed,1,wave_00034_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Capparis callophylla,Capparis,Capparaceae,9,42,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Varronia nesophila,Varronia,Cordiaceae,9,30,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Euploca humifusa,Euploca,Heliotropiaceae,9,79,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Cuphea hyssopifolia,Cuphea,Lythraceae,91,692,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Nepenthes hookeriana,Nepenthes,Nepenthaceae,7,41,processed,1,wave_00007_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Guapira floribunda,Guapira,Nyctaginaceae,9,44,processed,1,wave_00028_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Billardiera scandens,Billardiera,Pittosporaceae,9,66,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Symplocos glabra,Symplocos,Symplocaceae,8,107,processed,1,wave_00019_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
