accepted_species,family,axis,trait_name,normalized_value,raw_value,evidence_quality,source_provider,source_url,page_title,source_citation,source_excerpt,source_record_id,source_lineage,lineage_method,source_tier,source_type,domain,language,wild_cultivated_cultivar_status,content_sha256,content_sha256_basis,retrieved_at_utc,query,review_status,source_run_id,source_artifact_id,source_artifact_name,candidate_key,review_decision,review_reason_code,review_reason,accepted_correct,species_identity_correct,cultivar_contamination,provenance_complete,reviewer,reviewed_at_utc
Dovyalis lucida,Salicaceae,floral_structural_complexity,flower_size_class,small,1-1.5 cm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=140820,Flora of Mozambique: Species information: Dovyalis lucida,Flora of Mozambique curated regional-flora species treatment,"Flowers short-lived, very small, greenish yellow, stamens c.15. Fruit ellipsoid, fleshy, 1-1.5 cm in diameter, velvety, cupped by the small recurved calyx lobes;",mozambique-flora:140820:flower_size_class,provider_treatment:mozambique_flora:140820,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,3e2f6cb002b486a04045999bba3dba631cbb1eac41ae5894735c539dcc3fe7f7,retrieved_species_treatment_html_bytes,2026-08-14T03:49:28Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,c20ce9ad4b2c9500c891813b,reject,fruit_measurement_not_flower_size,The only numeric dimension in the excerpt belongs to the fruit.,False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Goodyera afzelii,Orchidaceae,flower_colour,flower_primary_color,red_pink,petals pale pinkish;,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=174100,Flora of Mozambique: Species information: Goodyera afzelii,Flora of Mozambique curated regional-flora species treatment,petals pale pinkish;,mozambique-flora:174100:flower_primary_color,provider_treatment:mozambique_flora:174100,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,83bd5d5ed341ed1ab75d98a7cf788e2fb67d7c137db4095ce869b758778a69ca,retrieved_species_treatment_html_bytes,2026-08-14T03:49:47Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,36377ea0113a4524797ba7da,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Lannea antiscorbutica,Anacardiaceae,flower_colour,flower_primary_color,multicolored_variable,"Flowers in clustered spikes at the ends of branchlets, creamy-yellow, densely covered in woolly stellate hairs, appearing before the leaves",medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=177560,Flora of Mozambique: Species information: Lannea antiscorbutica,Flora of Mozambique curated regional-flora species treatment,"Flowers in clustered spikes at the ends of branchlets, creamy-yellow, densely covered in woolly stellate hairs, appearing before the leaves",mozambique-flora:177560:flower_primary_color,provider_treatment:mozambique_flora:177560,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,7700e2ad2cf8437dc6ea6db280d34c93207ffb5c1445d74b3ad5e0fd2e458063,retrieved_species_treatment_html_bytes,2026-08-14T03:49:55Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,9f9b8c8718cbfda21f900a0e,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Manilkara sansibarensis,Sapotaceae,flower_colour,flower_primary_color,white,"Flowers in densely flowered axillary clusters, white, on pedicels up to 12 mm long",medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=175100,Flora of Mozambique: Species information: Manilkara sansibarensis,Flora of Mozambique curated regional-flora species treatment,"Flowers in densely flowered axillary clusters, white, on pedicels up to 12 mm long",mozambique-flora:175100:flower_primary_color,provider_treatment:mozambique_flora:175100,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,823b66c8d7ae25ba9b42d96a89fac64d19e0fed6d239de3c5515396b96e124a8,retrieved_species_treatment_html_bytes,2026-08-14T03:49:49Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,dbbf50f4b2930863976a0366,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Momordica anigosantha,Cucurbitaceae,floral_structural_complexity,flower_size_class,large,4 cm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=167880,Flora of Mozambique: Species information: Momordica anigosantha,Flora of Mozambique curated regional-flora species treatment,"Male flowers c. 4 cm wide, in several to many-flowered axillary inflorescences;",mozambique-flora:167880:flower_size_class,provider_treatment:mozambique_flora:167880,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,598be47a02e0e6951c3db9eb62831a97d9d964c3d4f7b7dd9bde082e73f37a59,retrieved_species_treatment_html_bytes,2026-08-14T03:49:59Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,b327ef5b17e15a62575596c1,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Pedalium murex,Pedaliaceae,floral_structural_complexity,inflorescence_display,solitary,"Flowers solitary in the leaf axis, yellow;",medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=171700,Flora of Mozambique: Species information: Pedalium murex,Flora of Mozambique curated regional-flora species treatment,"Flowers solitary in the leaf axis, yellow;",mozambique-flora:171700:inflorescence_display,provider_treatment:mozambique_flora:171700,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c1a4f1647afd40602de9ca3f41e12a080a58b863a2337768925493ffe7c0bf22,retrieved_species_treatment_html_bytes,2026-08-14T03:49:35Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,8ad7df3162381405dea3f700,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Syngonanthus welwitschii,Eriocaulaceae,floral_structural_complexity,flower_size_class,very_small,0.5-0.7 mm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=211220,Flora of Mozambique: Species information: Syngonanthus welwitschii,Flora of Mozambique curated regional-flora species treatment,"Flowers 5-9, straw-coloured, 0.5-0.7 mm long with 4-7 sessile female flowers surrounding 1-2 shortly pedicelled male flowers.",mozambique-flora:211220:flower_size_class,provider_treatment:mozambique_flora:211220,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,04fb23525a63193fab1948aa523b412ccf41ab383ff138965c8ad53f71f55817,retrieved_species_treatment_html_bytes,2026-08-14T03:49:27Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,e69717d340ede15a81312565,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Tetracera boiviniana,Dilleniaceae,floral_structural_complexity,inflorescence_display,few_flowered,"Inflorescences in few-flowered clusters, terminal and in the upper leaf axils",medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=173640,Flora of Mozambique: Species information: Tetracera boiviniana,Flora of Mozambique curated regional-flora species treatment,"Inflorescences in few-flowered clusters, terminal and in the upper leaf axils",mozambique-flora:173640:inflorescence_display,provider_treatment:mozambique_flora:173640,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,f816737d48862388cff589b92346ff3148745a108a8c105bf4777b312389cb4a,retrieved_species_treatment_html_bytes,2026-08-14T03:49:58Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,c10ad883a195e08843ae306f,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Thalassodendron ciliatum,Cymodoceaceae,floral_structural_complexity,flower_size_class,small|very_small,6-10 mm || 1-2 mm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=179680,Flora of Mozambique: Species information: Thalassodendron ciliatum,Flora of Mozambique curated regional-flora species treatment,"Male flowers: anthers 6-10 mm, each with a short appendage || Females flowers: ovary 1-2 mm, ellipsoid",mozambique-flora:179680:flower_size_class,provider_treatment:mozambique_flora:179680,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,f3b33a48d791027c13efcb29add99ab8b7e807ac54afea6c6053936e0e5fb4fc,retrieved_species_treatment_html_bytes,2026-08-14T03:49:31Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,946e01fe147b36284b352512,reject,component_measurement_not_whole_flower,The dimensions belong to anthers and ovaries.,False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Zanthoxylum delagoense,Rutaceae,floral_structural_complexity,flower_size_class,very_small,1.7 mm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=179030,Flora of Mozambique: Species information: Zanthoxylum delagoense,Flora of Mozambique curated regional-flora species treatment,Female flowers: petals 4.5 × 1.7 mm;,mozambique-flora:179030:flower_size_class,provider_treatment:mozambique_flora:179030,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,463c2e2ecf1c2e650fbb6a1222aff0ee9761a0cf9b5a41798d5012f3f3f25e27,retrieved_species_treatment_html_bytes,2026-08-14T03:49:59Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,8e7447fb9a0c661433bdf99f,reject,component_measurement_not_whole_flower,The dimensions belong to petals rather than the whole flower or corolla.,False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Casimiroa edulis,Rutaceae,flower_colour,flower_primary_color,green_brown_inconspicuous,"Flowers greenish, fragrant",medium,Flora of Zambia,https://www.zambiaflora.com/speciesdata/species.php?species_id=133100,Flora of Zambia: Species information: Casimiroa edulis,Flora of Zambia curated regional-flora species treatment,"Flowers greenish, fragrant",zambia-flora:133100:flower_primary_color,provider_treatment:zambia_flora:133100,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,zambiaflora.com,en,regional_flora_species_treatment_not_cultivar_limited,a417d287fb85f391c23f3dc70734932d00e6285fb7b6eb791d927a778890cf8f,retrieved_species_treatment_html_bytes,2026-08-14T03:49:26Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,243586464ed13d7d10b7c47a,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Thecacoris trichogyne,Phyllanthaceae,flower_colour,flower_primary_color,multicolored_variable|yellow_orange,"flowers creamy-greenish; || flowers yellowish, with pedicels 1-3 mm long, extending to 1.5 cm in fruit",medium,Flora of Zambia,https://www.zambiaflora.com/speciesdata/species.php?species_id=210450,Flora of Zambia: Species information: Thecacoris trichogyne,Flora of Zambia curated regional-flora species treatment,"flowers creamy-greenish; || flowers yellowish, with pedicels 1-3 mm long, extending to 1.5 cm in fruit",zambia-flora:210450:flower_primary_color,provider_treatment:zambia_flora:210450,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,zambiaflora.com,en,regional_flora_species_treatment_not_cultivar_limited,d3ef34b03744dc6d1ee71612d89ce94ec0cc40f564086006bfc46323983a0423,retrieved_species_treatment_html_bytes,2026-08-14T03:49:48Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,0941ccf83fb28ef11a9d73e1,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
